ADMIT_PAIN_NO,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,0.05497212737,1.999058239,-0.09795870618,2.639530197,0.02372988447,9.859842984,-0.02364311039,7.687740647,0.07426646821,4.78153381
2,0.06458311069,3.744982227,-0.1486290968,4.855242402,0.01366084849,16.08921973,-0.02679586253,12.64374694,0.07979854232,8.193738139
3,0.04202640811,4.984637713,-0.1701188399,6.223318622,-0.01791621025,16.99797428,-0.05647888817,13.571924,0.04881316523,9.391619399
4,0.0004954778065,5.570721727,-0.1805356036,6.627766846,-0.06013166195,17.23093502,-0.1431865629,13.8771019,0.005924654671,9.627527581
5,-0.04939361647,5.779256407,-0.1953221879,6.912616091,-0.1078009485,17.66821386,-0.2513082381,14.23321852,-0.05466317233,10.14422558
6,-0.1073343886,5.929629568,-0.2192619209,7.144589734,-0.1571607797,17.8878141,-0.3394773147,14.3681932,-0.1463491239,10.34782517
7,-0.1755977468,6.091366594,-0.2544732625,7.222147634,-0.2074762913,17.96433139,-0.4094084181,14.39240264,-0.2727924522,10.30667855
8,-0.2500153697,6.269327101,-0.2917863934,7.378227647,-0.2701263231,18.06029323,-0.4735864792,14.47221576,-0.3986941854,10.32013291
9,-0.3006620168,6.459570038,-0.2768783764,7.638388773,-0.359518141,18.19336228,-0.5444964293,14.61551278,-0.4790157954,10.41535184
10,-0.2911732179,6.65595419,-0.1441379952,7.950590456,-0.4900590107,18.34498491,-0.6346231996,14.79055174,-0.4687187545,10.55145306
