ADMIT_SCORE_NO,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,DASH.prob.mcd,DASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,0.3766118042,-0.00216808386,0.8417499019,0.001107495283,-0.02421172074,-0.003483119926,0.01264025719,0.0006054757567,0.7678835393,-0.004911571376
2,0.726997398,-0.004341684619,1.622798299,0.002204661918,-0.04622106558,-0.006962827487,0.02363546367,0.001216811222,1.486128705,-0.009810515144
3,1.052140705,-0.006526319177,2.345542921,0.003281171258,-0.06614645849,-0.01043571032,0.03301896314,0.001839866106,2.156480806,-0.0146842037
4,1.353025649,-0.008727504434,3.012381497,0.004326694656,-0.08410632343,-0.01389835605,0.04082409927,0.002480500116,2.780685152,-0.01952000942
5,1.630636154,-0.01095075729,3.625711759,0.005330903464,-0.1002190844,-0.01734735233,0.04708421574,0.003144572962,3.360487049,-0.02430530472
6,1.885956143,-0.01320159464,4.187931436,0.006283469034,-0.1146031653,-0.02077928678,0.05183265622,0.003837944353,3.897631809,-0.02902746197
7,2.11996954,-0.01548553339,4.701438259,0.007174062719,-0.1273769902,-0.02419074704,0.05510276439,0.004566473998,4.393864738,-0.03367385357
8,2.333660269,-0.01780809044,5.168629956,0.007992355872,-0.138658983,-0.02757832075,0.05692788394,0.005336021605,4.850931146,-0.03823185191
9,2.528012252,-0.02017478269,5.591904259,0.008728019844,-0.1485675678,-0.03093859554,0.05734135853,0.006152446884,5.270576341,-0.04268882939
10,2.704009415,-0.02259112703,5.973658897,0.009370725989,-0.1572211684,-0.03426815904,0.05637653185,0.007021609543,5.654545632,-0.04703215839
11,2.862635681,-0.02506264036,6.316291601,0.009910145658,-0.1647382088,-0.03756359889,0.05406674758,0.007949369292,6.004584328,-0.05124921131
12,3.004874972,-0.02759483959,6.6222001,0.01033595021,-0.1712371131,-0.04082150273,0.05044534939,0.008941585839,6.322437737,-0.05532736054
13,3.131711214,-0.03019324162,6.893782125,0.01063781098,-0.1768363052,-0.04403845818,0.04554568096,0.01000411889,6.609851169,-0.05925397847
14,3.244128329,-0.03286336334,7.133435405,0.01080539934,-0.181654209,-0.04721105289,0.03940108597,0.01114282816,6.868569931,-0.06301643749
15,3.343110241,-0.03561072166,7.343557671,0.01082838664,-0.1858092486,-0.0503358745,0.03204490809,0.01236357336,7.100339332,-0.06660211
16,3.429640874,-0.03844083346,7.526546653,0.01069644422,-0.1894198479,-0.05340951062,0.02351049101,0.01367221419,7.306904682,-0.06999836838
17,3.504704152,-0.04135921567,7.684800081,0.01039924344,-0.1926044309,-0.05642854891,0.0138311784,0.01507461036,7.490011289,-0.07319258503
18,3.569283998,-0.04437138516,7.820715684,0.009926455652,-0.1954814216,-0.05938957699,0.003040313941,0.01657662159,7.651404461,-0.07617213233
19,3.624364336,-0.04748285885,7.936691193,0.009264337689,-0.1981692438,-0.06228918251,-0.008828758689,0.01818410757,7.792829507,-0.07892438269
20,3.670929089,-0.05069915363,8.035124338,0.0083854883,-0.2007863217,-0.06512395309,-0.02174269581,0.01990292803,7.916031736,-0.08143670849
21,3.709962182,-0.0540257864,8.11841285,0.007259091713,-0.2034510792,-0.06789047636,-0.03566815375,0.02173894267,8.022756456,-0.08369648212
22,3.742447538,-0.05746827406,8.188954457,0.005854332156,-0.2062819402,-0.07058533998,-0.05057178883,0.02369801119,8.114748977,-0.08570102469
23,3.76936908,-0.06103213351,8.24914689,0.004140393857,-0.2093973287,-0.07320513156,-0.06642025737,0.02578599331,8.193754606,-0.0874874521
24,3.791710732,-0.06472288165,8.30138788,0.002086461046,-0.2129156688,-0.07574643875,-0.08318021568,0.02800874873,8.261518654,-0.08910282897
25,3.810456418,-0.06855814495,8.348075156,-0.0003382820497,-0.2169553843,-0.07820584918,-0.1008183201,0.03037213717,8.319786427,-0.09059421992
26,3.826590061,-0.07260398809,8.391606448,-0.003164651201,-0.2216348992,-0.08057995048,-0.119301227,0.03286849369,8.370303235,-0.09200868957
27,3.841095586,-0.07693858535,8.433964502,-0.00642346218,-0.2270726376,-0.0828653303,-0.1385955926,0.03543605474,8.414814387,-0.09339330255
28,3.854956916,-0.08164011098,8.475472128,-0.01014553076,-0.2333870233,-0.08505857626,-0.1586680732,0.03799953215,8.455065191,-0.09479512346
29,3.869157974,-0.08678673924,8.51603715,-0.01436304549,-0.2406964805,-0.087156276,-0.1794853253,0.04048363773,8.492800956,-0.09626121693
30,3.884682684,-0.09245664441,8.555567395,-0.01911368606,-0.2491194329,-0.08915501716,-0.2010140051,0.0428130833,8.529478354,-0.09783864757
31,3.902307402,-0.09872800073,8.593970686,-0.02443650494,-0.2587743047,-0.09105138736,-0.2232207689,0.04491258066,8.565399512,-0.09957448001
32,3.921978209,-0.1056789825,8.631154849,-0.03037055461,-0.2697795197,-0.09284595848,-0.246072273,0.04670684165,8.600577918,-0.1015157789
33,3.943433621,-0.1133877639,8.66702771,-0.03695488752,-0.282253502,-0.0945552393,-0.2695351739,0.04812057807,8.635027064,-0.1037096087
34,3.966412152,-0.1219325193,8.701497093,-0.04422855616,-0.2963146755,-0.09619972283,-0.2935914412,0.04907850173,8.668760438,-0.1061828055
35,3.990652315,-0.1313914228,8.734470823,-0.05223061299,-0.3120814642,-0.09779990208,-0.3182842984,0.04950532446,8.701791531,-0.1088812898
36,4.015892624,-0.1418426489,8.765856726,-0.06100011048,-0.3296722921,-0.09937627006,-0.3436722825,0.04932575807,8.734133832,-0.1117307537
37,4.041871595,-0.1533342295,8.795562628,-0.0705761011,-0.3492055832,-0.1009493198,-0.3698139303,0.04846451438,8.765800831,-0.114656889
38,4.068327741,-0.1657936285,8.823496352,-0.08099763733,-0.3707997613,-0.1025395443,-0.396767779,0.04687610732,8.796806017,-0.1175853878
39,4.094999577,-0.1791181673,8.849565724,-0.09228309741,-0.3945732506,-0.1041674365,-0.4245923652,0.04463425934,8.827162881,-0.1204419419
40,4.121625616,-0.1932051677,8.87367857,-0.1043681628,-0.4206444749,-0.1058534896,-0.4533462261,0.041842495,8.856884912,-0.1231522433
41,4.147944373,-0.2079519511,8.895742714,-0.1171678405,-0.4490684264,-0.1076181964,-0.4830878985,0.03860433887,8.8859856,-0.1256419839
42,4.173694362,-0.2232558391,8.915665981,-0.130597138,-0.4796463701,-0.10948205,-0.5138759193,0.0350233155,8.914478435,-0.1278368557
