ADMIT_PAIN_NO,MDQ PRO (IROMS 17),MDQ PAIN NPRS (IROMS 18),NDI PRO (IROMS 15),NDI PAIN NPRS (IROMS16) ,KOS PRO (IROMS 11),KOS PAIN NPRS (IROMS 12),LEFS PRO (IROMS 13 ),LEFS PAIN NPRS (IROMS 14),DASH PRO (IROMS 19),DASH PAIN NPRS (IROMS 20)
0,0,0,0,0,0,0,0,0,0,0
1,0.00201439,-0.4752226,0.05518203,-0.4162018,0.06310058,-0.5026995,0.05202202,-0.50109,0.08686449,-0.4706628
2,0.00402879,-0.9504451,0.11036407,-0.8324037,-0.0524475,0.395577,0.10404403,-1.00218,0.17372898,-0.9413257
3,0.00604318,-1.4256677,0.1655461,-1.2486055,-0.0786712,0.5933655,0.15606605,-1.5032701,0.26059347,-1.4119885
4,0.00805758,-1.9008902,0.22072813,-1.6648073,-0.104895,0.791154,0.20808807,-2.0043601,0.34745797,-1.8826514
5,0.01007197,-2.3761128,0.27591017,-2.0810091,-0.1311187,0.98894249,0.26011008,-2.5054501,0.43432246,-2.3533142
6,0.01208637,-2.8513354,0.3310922,-2.497211,-0.1573425,1.18673099,0.3121321,-3.0065401,0.52118695,-2.823977
7,0.01410076,-3.3265579,0.38627424,-2.9134128,-0.1835662,1.38451949,0.36415412,-3.5076302,0.60805144,-3.2946399
8,0.01611515,-3.8017805,0.44145627,-3.3296146,-0.20979,1.58230799,0.41617614,-4.0087202,0.69491593,-3.7653027
9,0.01812955,-4.277003,0.4966383,-3.7458165,-0.2360137,1.78009649,0.46819815,-4.5098102,0.78178042,-4.2359655
10,0.02014394,-4.7522256,0.55182034,-4.1620183,-0.2622375,1.97788499,0.52022017,-5.0109002,0.86864492,-4.7066284
