ADMIT_SCORE_NO,MDQ PRO (IROMS 17),MDQ PAIN NPRS (IROMS 18),NDI PRO (IROMS 15),NDI PAIN NPRS (IROMS16) ,KOS PRO (IROMS 11),KOS PAIN NPRS (IROMS 12),LEFS PRO (IROMS 13 ),LEFS PAIN NPRS (IROMS 14),DASH PRO (IROMS 19),DASH PAIN NPRS (IROMS 20)
0,0,0,0,0,0,0,0,0,0,0
1,-0.0206471,0.02568658,-0.024272,0.01916537,0.04595378,-0.0072613,0.03022428,-0.0135215,-0.0335218,0.01033845
2,-0.0412942,0.05137317,-0.048544,0.03833074,0.09190755,-0.0145226,0.06044857,-0.027043,-0.0670436,0.02067689
3,-0.0619414,0.07705975,-0.072816,0.0574961,0.13786133,-0.0217839,0.09067285,-0.0405644,-0.1005654,0.03101534
4,-0.0825885,0.10274634,-0.0970881,0.07666147,0.18381511,-0.0290453,0.12089713,-0.0540859,-0.1340873,0.04135379
5,-0.1032356,0.12843292,-0.1213601,0.09582684,0.22976888,-0.0363066,0.15112141,-0.0676074,-0.1676091,0.05169224
6,-0.1238827,0.15411951,-0.1456321,0.11499221,0.27572266,-0.0435679,0.1813457,-0.0811289,-0.2011309,0.06203068
7,-0.1445298,0.17980609,-0.1699041,0.13415757,0.32167644,-0.0508292,0.21156998,-0.0946503,-0.2346527,0.07236913
8,-0.165177,0.20549268,-0.1941761,0.15332294,0.36763021,-0.0580905,0.24179426,-0.1081718,-0.2681745,0.08270758
9,-0.1858241,0.23117926,-0.2184481,0.17248831,0.41358399,-0.0653518,0.27201855,-0.1216933,-0.3016963,0.09304603
10,-0.2064712,0.25686585,-0.2427201,0.19165368,0.45953777,-0.0726132,0.30224283,-0.1352148,-0.3352181,0.10338447
11,-0.2271183,0.28255243,-0.2669922,0.21081905,0.50549154,-0.0798745,0.33246711,-0.1487363,-0.36874,0.11372292
12,-0.2477654,0.30823902,-0.2912642,0.22998441,0.55144532,-0.0871358,0.36269139,-0.1622577,-0.4022618,0.12406137
13,-0.2684126,0.3339256,-0.3155362,0.24914978,0.5973991,-0.0943971,0.39291568,-0.1757792,-0.4357836,0.13439981
14,-0.2890597,0.35961218,-0.3398082,0.26831515,0.64335287,-0.1016584,0.42313996,-0.1893007,-0.4693054,0.14473826
15,-0.3097068,0.38529877,-0.3640802,0.28748052,0.68930665,-0.1089197,0.45336424,-0.2028222,-0.5028272,0.15507671
16,-0.3303539,0.41098535,-0.3883522,0.30664588,0.73526043,-0.1161811,0.48358853,-0.2163436,-0.536349,0.16541516
17,-0.351001,0.43667194,-0.4126242,0.32581125,0.7812142,-0.1234424,0.51381281,-0.2298651,-0.5698708,0.1757536
18,-0.3716481,0.46235852,-0.4368962,0.34497662,0.82716798,-0.1307037,0.54403709,-0.2433866,-0.6033926,0.18609205
19,-0.3922953,0.48804511,-0.4611683,0.36414199,0.87312176,-0.137965,0.57426137,-0.2569081,-0.6369145,0.1964305
20,-0.4129424,0.51373169,-0.4854403,0.38330736,0.91907553,-0.1452263,0.60448566,-0.2704296,-0.6704363,0.20676894
21,-0.4335895,0.53941828,-0.5097123,0.40247272,0.96502931,-0.1524876,0.63470994,-0.283951,-0.7039581,0.21710739
22,-0.4542366,0.56510486,-0.5339843,0.42163809,1.01098309,-0.159749,0.66493422,-0.2974725,-0.7374799,0.22744584
23,-0.4748837,0.59079145,-0.5582563,0.44080346,1.05693687,-0.1670103,0.69515851,-0.310994,-0.7710017,0.23778429
24,-0.4955309,0.61647803,-0.5825283,0.45996883,1.10289064,-0.1742716,0.72538279,-0.3245155,-0.8045235,0.24812273
25,-0.516178,0.64216462,-0.6068003,0.47913419,1.14884442,-0.1815329,0.75560707,-0.3380369,-0.8380453,0.25846118
26,-0.5368251,0.6678512,-0.6310724,0.49829956,1.1947982,-0.1887942,0.78583135,-0.3515584,-0.8715672,0.26879963
27,-0.5574722,0.69353778,-0.6553444,0.51746493,1.24075197,-0.1960555,0.81605564,-0.3650799,-0.905089,0.27913808
28,-0.5781193,0.71922437,-0.6796164,0.5366303,1.28670575,-0.2033168,0.84627992,-0.3786014,-0.9386108,0.28947652
29,-0.5987665,0.74491095,-0.7038884,0.55579567,1.33265953,-0.2105782,0.8765042,-0.3921228,-0.9721326,0.29981497
30,-0.6194136,0.77059754,-0.7281604,0.57496103,1.3786133,-0.2178395,0.90672849,-0.4056443,-1.0056544,0.31015342
31,-0.6400607,0.79628412,-0.7524324,0.5941264,1.42456708,-0.2251008,0.93695277,-0.4191658,-1.0391762,0.32049186
32,-0.6607078,0.82197071,-0.7767044,0.61329177,1.47052086,-0.2323621,0.96717705,-0.4326873,-1.072698,0.33083031
33,-0.6813549,0.84765729,-0.8009765,0.63245714,1.51647463,-0.2396234,0.99740134,-0.4462088,-1.1062199,0.34116876
34,-0.7020021,0.87334388,-0.8252485,0.6516225,1.56242841,-0.2468847,1.02762562,-0.4597302,-1.1397417,0.35150721
35,-0.7226492,0.89903046,-0.8495205,0.67078787,1.60838219,-0.2541461,1.0578499,-0.4732517,-1.1732635,0.36184565
36,-0.7432963,0.92471705,-0.8737925,0.68995324,1.65433596,-0.2614074,1.08807418,-0.4867732,-1.2067853,0.3721841
