Age.num,MDQ PRO (IROMS 17),MDQ PAIN NPRS (IROMS 18),NDI PRO (IROMS 15),NDI PAIN NPRS (IROMS16) ,KOS PRO (IROMS 11),KOS PAIN NPRS (IROMS 12),LEFS PRO (IROMS 13 ),LEFS PAIN NPRS (IROMS 14),DASH PRO (IROMS 19),DASH PAIN NPRS (IROMS 20)
10,0.32908389,8.70E-02,0.43594957,0.06813083,0.46427338,0.3121578,0.60715778,0.15875186,0.43898783,0.17521689
11,0.34270556,9.06E-02,0.4539947,0.07095095,0.4834909,0.32507885,0.63228967,0.16532302,0.45715872,0.18246958
12,0.35514116,9.39E-02,0.4704686,0.07352551,0.50103513,0.33687484,0.65523329,0.17132203,0.47374744,0.18909078
13,0.36658081,9.69E-02,0.48562313,0.07589389,0.51717425,0.3477261,0.67633938,0.17684057,0.48900758,0.19518169
14,0.37717227,9.97E-02,0.49965403,0.07808666,0.53211674,0.3577728,0.69588056,0.18194995,0.50313626,0.20082099
15,0.38703269,1.02E-01,0.51271648,0.08012807,0.54602787,0.36712606,0.71407296,0.18670667,0.51628975,0.20607105
16,0.39625649,1.05E-01,0.52493559,0.08203769,0.55904086,0.37587544,0.73109082,0.19115628,0.52859402,0.21098215
17,0.40492092,1.07E-01,0.53641368,0.08383151,0.57126468,0.38409422,0.74707664,0.19533605,0.5401521,0.21559543
18,0.41308996,1.09E-01,0.54723551,0.08552276,0.58278961,0.3918431,0.76214847,0.19927684,0.55104936,0.21994494
19,0.42081721,1.11E-01,0.55747209,0.08712255,0.59369126,0.39917291,0.7764052,0.20300451,0.56135727,0.22405922
20,0.42814801,1.13E-01,0.56718347,0.08864025,0.60403359,0.40612666,0.78993049,0.20654093,0.57113634,0.22796242
21,0.43512107,1.15E-01,0.57642094,0.0900839,0.61387122,0.41274106,0.80279573,0.20990477,0.58043818,0.23167515
22,0.44176968,1.17E-01,0.5852286,0.09146037,0.62325112,0.41904771,0.81506238,0.21311209,0.58930722,0.23521512
23,0.44812269,1.18E-01,0.59364467,0.09277565,0.63221399,0.42507396,0.82678365,0.21617682,0.59778195,0.23859771
24,0.45420529,1.20E-01,0.6017025,0.09403494,0.64079534,0.4308437,0.838006,0.2191111,0.60589594,0.24183632
25,0.46003954,1.22E-01,0.60943135,0.09524281,0.64902633,0.43637787,0.84877016,0.22192557,0.61367865,0.2449427
26,0.46564493,1.23E-01,0.61685703,0.09640331,0.65693446,0.44169496,0.85911208,0.22462964,0.62115608,0.24792722
27,0.47103876,1.25E-01,0.62400242,0.09752,0.66454409,0.44681136,0.86906365,0.22723165,0.62835128,0.2507991
28,0.4762364,1.26E-01,0.63088793,0.09859608,0.67187695,0.45174166,0.87865326,0.22973902,0.63528477,0.25356652
29,0.48125162,1.27E-01,0.63753178,0.09963439,0.67895246,0.45649894,0.88790633,0.2321584,0.64197493,0.25623682
30,0.48609681,1.28E-01,0.64395038,0.1006375,0.68578808,0.46109492,0.89684567,0.23449574,0.64843826,0.25881659
31,0.49078311,1.30E-01,0.65015849,0.10160771,0.69239954,0.46554018,0.90549186,0.23675644,0.65468964,0.26131175
32,0.49532061,1.31E-01,0.65616949,0.10254712,0.69880107,0.4698443,0.91386352,0.23894535,0.66074253,0.26372769
33,0.49971848,1.32E-01,0.6619955,0.10345762,0.7050056,0.47401596,0.92197756,0.24106691,0.66660914,0.26606928
34,0.50398504,1.33E-01,0.66764758,0.10434093,0.71102489,0.47806308,0.92984934,0.24312512,0.67230061,0.26834097
35,0.50812792,1.34E-01,0.67313581,0.10519864,0.71686969,0.48199288,0.93749293,0.24512367,0.67782708,0.27054679
36,0.51215408,1.35E-01,0.67846941,0.10603218,0.72254982,0.48581196,0.94492117,0.24706591,0.68319786,0.27269048
37,0.51606992,1.36E-01,0.68365687,0.10684289,0.72807432,0.48952639,0.95214588,0.24895493,0.68842148,0.27477542
38,0.51988133,1.37E-01,0.68870599,0.10763197,0.73345147,0.49314177,0.9591779,0.25079358,0.69350578,0.27680476
39,0.52359373,1.38E-01,0.69362394,0.10840055,0.73868894,0.49666322,0.96602726,0.25258446,0.698458,0.27878139
40,0.52721213,1.39E-01,0.69841737,0.10914968,0.74379381,0.50009552,0.97270319,0.25433,0.70328484,0.28070796
41,0.53074119,1.40E-01,0.70309243,0.1098803,0.74877261,0.50344305,0.97921427,0.25603243,0.70799249,0.28258697
42,0.53418519,1.41E-01,0.70765484,0.11059332,0.75363144,0.50670992,0.98556844,0.25769384,0.71258669,0.28442069
43,0.53754815,1.42E-01,0.71210988,0.11128956,0.75837592,0.50989991,0.99177308,0.25931615,0.71707278,0.28621126
44,0.5408338,1.43E-01,0.71646249,0.1119698,0.76301133,0.51301657,0.99783508,0.26090116,0.72145573,0.28796066
45,0.54404561,1.44E-01,0.72071729,0.11263474,0.76754256,0.51606317,1.00376084,0.26245055,0.72574018,0.28967075
46,0.54718682,1.45E-01,0.72487857,0.11328507,0.7719742,0.51904282,1.00955636,0.26396589,0.72993046,0.29134325
47,0.55026047,1.45E-01,0.72895035,0.11392142,0.77631053,0.52195838,1.01522723,0.26544864,0.73403061,0.29297978
48,0.55326941,1.46E-01,0.7329364,0.11454436,0.78055555,0.52481256,1.0207787,0.26690017,0.73804445,0.29458185
49,0.5562163,1.47E-01,0.73684026,0.11515446,0.78471305,0.52760788,1.0262157,0.26832176,0.74197551,0.29615089
50,0.55910366,1.48E-01,0.74066525,0.11575224,0.78878655,0.53034673,1.03154286,0.26971464,0.74582716,0.29768823
51,0.56193384,1.49E-01,0.74441449,0.11633817,0.79277938,0.53303134,1.03676452,0.27107993,0.74960253,0.29919513
52,0.56470906,1.49E-01,0.74809093,0.11691273,0.79669467,0.53566382,1.04188478,0.27241871,0.75330459,0.30067276
53,0.56743141,1.50E-01,0.75169733,0.11747635,0.80053539,0.53824616,1.04690751,0.27373199,0.75693613,0.30212225
54,0.57010288,1.51E-01,0.75523632,0.11802943,0.80430431,0.54078022,1.05183635,0.27502072,0.76049978,0.30354464
55,0.57272532,1.51E-01,0.75871037,0.11857236,0.80800407,0.54326778,1.05667475,0.27628581,0.76399804,0.30494093
56,0.57530052,1.52E-01,0.76212183,0.1191055,0.81163717,0.54571052,1.06142597,0.27752809,0.76743327,0.30631206
57,0.57783013,1.53E-01,0.76547289,0.11962921,0.81520596,0.54811002,1.06609308,0.27874839,0.7708077,0.30765892
58,0.58031574,1.53E-01,0.76876568,0.12014381,0.81871268,0.5504678,1.07067903,0.27994747,0.77412343,0.30898236
59,0.58275887,1.54E-01,0.77200218,0.12064962,0.82215945,0.55278526,1.07518658,0.28112604,0.77738249,0.31028318
60,0.58516093,1.55E-01,0.77518428,0.12114692,0.82554829,0.55506378,1.07961837,0.28228481,0.78058676,0.31156213
61,0.58752329,1.55E-01,0.77831378,0.121636,0.82888112,0.55730463,1.0839769,0.28342442,0.78373807,0.31281993
62,0.58984723,1.56E-01,0.78139239,0.12211713,0.83215975,0.55950904,1.08826456,0.28454551,0.78683814,0.31405729
63,0.59213399,1.57E-01,0.78442175,0.12259057,0.83538592,0.56167818,1.09248362,0.28564865,0.78988861,0.31527485
64,0.59438473,1.57E-01,0.78740339,0.12305654,0.83856128,0.56381316,1.09663623,0.28673442,0.79289103,0.31647323
65,0.59660058,1.58E-01,0.79033881,0.12351529,0.84168741,0.56591504,1.10072445,0.28780336,0.7958469,0.31765303
66,0.5987826,1.58E-01,0.7932294,0.12396704,0.84476581,0.56798482,1.10475026,0.28885598,0.79875765,0.31881482
67,0.6009318,1.59E-01,0.79607653,0.12441199,0.84779792,0.57002349,1.10871553,0.28989276,0.80162462,0.31995914
