pain_admit,DASH.prob.mcd,DASH.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,0.096135423,-0.468608192,0.073078365,-0.510925061,0.043604404,-0.500497433,0.064637348,-0.409598283,0.010818639,-0.474538399
2,0.192270846,-0.937216384,0.14615673,-1.021850122,0.087208808,-1.000994866,0.129274697,-0.819196566,0.021637277,-0.949076798
3,0.288406269,-1.405824576,0.219235095,-1.532775184,0.130813212,-1.501492299,0.193912045,-1.228794849,0.032455916,-1.423615197
4,0.384541692,-1.874432768,0.292313459,-2.043700245,0.174417616,-2.001989731,0.258549393,-1.638393132,0.043274555,-1.898153596
5,0.480677116,-2.34304096,0.365391824,-2.554625306,0.21802202,-2.502487164,0.323186742,-2.047991415,0.054093193,-2.372691994
6,0.576812539,-2.811649152,0.438470189,-3.065550367,0.261626424,-3.002984597,0.38782409,-2.457589698,0.064911832,-2.847230393
7,0.672947962,-3.280257344,0.511548554,-3.576475428,0.305230828,-3.50348203,0.452461438,-2.867187981,0.075730471,-3.321768792
8,0.769083385,-3.748865536,0.584626919,-4.08740049,0.348835232,-4.003979463,0.517098786,-3.276786264,0.086549109,-3.796307191
9,0.865218808,-4.217473728,0.657705284,-4.598325551,0.392439635,-4.504476896,0.581736135,-3.686384547,0.097367748,-4.27084559
10,0.961354231,-4.686081921,0.730783649,-5.109250612,0.436044039,-5.004974328,0.646373483,-4.09598283,0.108186387,-4.745383989
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
