age,DASH.prob.mcd,DASH.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain
10,0.900235453,0.371958009,1.103588672,0.884077232,1.390642433,0.36814731,0.824494344,0.059830966,0.65703531,0.106753195
11,0.937498616,0.38735435,1.149269171,0.920671563,1.448204857,0.383385915,0.858622379,0.06230753,0.684231766,0.111171997
12,0.971517218,0.401410108,1.190972199,0.954079569,1.500755234,0.397297672,0.889778834,0.064568456,0.709060184,0.115206046
13,1.002811299,0.414340152,1.229335265,0.984811956,1.549096894,0.410095248,0.918439994,0.066648307,0.731900116,0.118917012
14,1.031785092,0.426311502,1.264853917,1.013265701,1.59385428,0.421943953,0.944976083,0.068573947,0.753046589,0.12235283
15,1.058759048,0.437456563,1.297920991,1.039755505,1.63552241,0.432974833,0.969680591,0.070366676,0.772733485,0.1255515
16,1.083991498,0.447882072,1.328853173,1.064535061,1.674500342,0.443293532,0.992790116,0.072043662,0.791149346,0.128543656
17,1.107693743,0.457675331,1.357909492,1.087811877,1.711114482,0.45298646,1.014498177,0.073618947,0.808448388,0.131354354
18,1.130040813,0.466908662,1.385304517,1.109757842,1.74563521,0.462125195,1.034965081,0.075104166,0.824758359,0.134004351
19,1.151179328,0.475642644,1.411217989,1.130516944,1.778289019,0.470769698,1.054325112,0.076509063,0.840186268,0.136511033
20,1.171233328,0.483928527,1.435801966,1.150210997,1.809267518,0.478970692,1.072691873,0.077841881,0.854822646,0.138889109
21,1.190308686,0.491810057,1.459186236,1.168943974,1.838734257,0.486771476,1.09016233,0.079109657,0.868744764,0.141151135
22,1.208496491,0.499324868,1.481482464,1.186805328,1.866829943,0.494209298,1.106819908,0.080318446,0.882019102,0.143307911
23,1.225875676,0.506505575,1.502787415,1.203872576,1.893676511,0.501316439,1.122736899,0.081473492,0.894703271,0.145368798
24,1.242515093,0.513380626,1.523185492,1.220213334,1.919380319,0.508121055,1.137976363,0.082579372,0.906847521,0.14734196
25,1.258475157,0.519974983,1.542750758,1.235886933,1.944034695,0.514647853,1.152593631,0.083640101,0.918495947,0.149234563
26,1.273809173,0.52631067,1.561548558,1.250945721,1.967721979,0.520918631,1.166637523,0.084659222,0.929687452,0.151052926
27,1.288564407,0.532407216,1.579636836,1.265436115,1.990515187,0.526952719,1.180151328,0.085639876,0.940456534,0.152802656
28,1.302782966,0.53828202,1.59706721,1.279399467,2.012479366,0.532767336,1.193173612,0.086584863,0.950833926,0.154488744
29,1.316502525,0.543950648,1.613885865,1.292872774,2.03367271,0.538377888,1.205738878,0.087496685,0.960847122,0.156115659
30,1.329756922,0.549427081,1.630134284,1.30588927,2.054147495,0.543798216,1.21787812,0.088377591,0.970520821,0.157687414
31,1.342576671,0.554723927,1.645849872,1.318478918,2.073950854,0.549040795,1.229619282,0.089229611,0.979877293,0.159207626
32,1.354989373,0.55985259,1.661066466,1.330668827,2.093125428,0.554116915,1.240987644,0.090054577,0.988936682,0.16067957
33,1.367020085,0.564823422,1.675814783,1.342483601,2.11170992,0.559036821,1.252006155,0.090854156,0.997717277,0.162106215
34,1.378691617,0.569645849,1.690122785,1.353945642,2.129739567,0.563809843,1.262695705,0.091629863,1.006235725,0.163490268
35,1.390024796,0.574328476,1.704016003,1.365075403,2.147246542,0.568444496,1.27307537,0.092383082,1.014507226,0.164834198
36,1.401038687,0.57887918,1.717517811,1.375891607,2.164260296,0.572948578,1.28316261,0.093115082,1.022545696,0.166140265
37,1.41175079,0.583305191,1.730649659,1.38641144,2.180807861,0.577329245,1.292973452,0.093827024,1.030363906,0.167410545
38,1.422177202,0.587613162,1.743431282,1.396650709,2.196914104,0.581593081,1.302522641,0.094519978,1.037973605,0.168646947
39,1.432332768,0.591809224,1.755880877,1.406623994,2.212601956,0.585746154,1.31182377,0.095194932,1.045385627,0.169851231
40,1.442231203,0.595899045,1.768015259,1.416344763,2.227892604,0.589794075,1.320889402,0.095852797,1.052609983,0.171025023
41,1.451885206,0.599887873,1.779849995,1.425825488,2.242805666,0.593742038,1.329731168,0.096494416,1.059655941,0.17216983
42,1.461306561,0.603780575,1.791399529,1.43507774,2.257359342,0.597594859,1.338359859,0.097120573,1.066532101,0.173287049
