ADMIT_PAIN_NO,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,DASH.prob.mcd,DASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,0.0646373483,-0.409598283,0.01081863866,-0.4745383989,0.07307836486,-0.5109250612,0.04360440394,-0.5004974328,0.09613542312,-0.4686081921
2,0.1292746966,-0.819196566,0.02163727732,-0.9490767978,0.1461567297,-1.021850122,0.08720880788,-1.000994866,0.1922708462,-0.9372163841
3,0.1939120449,-1.228794849,0.03245591597,-1.423615197,0.2192350946,-1.532775184,0.1308132118,-1.501492299,0.2884062694,-1.405824576
4,0.2585493932,-1.638393132,0.04327455463,-1.898153596,0.2923134595,-2.043700245,0.1744176158,-2.001989731,0.3845416925,-1.874432768
5,0.3231867415,-2.047991415,0.05409319329,-2.372691994,0.3653918243,-2.554625306,0.2180220197,-2.502487164,0.4806771156,-2.34304096
6,0.3878240898,-2.457589698,0.06491183195,-2.847230393,0.4384701892,-3.065550367,0.2616264236,-3.002984597,0.5768125387,-2.811649152
7,0.4524614381,-2.867187981,0.0757304706,-3.321768792,0.5115485541,-3.576475428,0.3052308276,-3.50348203,0.6729479618,-3.280257344
8,0.5170987864,-3.276786264,0.08654910926,-3.796307191,0.5846269189,-4.08740049,0.3488352315,-4.003979463,0.7690833849,-3.748865536
9,0.5817361347,-3.686384547,0.09736774792,-4.27084559,0.6577052838,-4.598325551,0.3924396354,-4.504476896,0.8652188081,-4.217473728
10,0.646373483,-4.09598283,0.1081863866,-4.745383989,0.7307836486,-5.109250612,0.4360440394,-5.004974328,0.9613542312,-4.686081921
