ADMIT_SCORE_NO,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,-0.02614098846,0.01924283004,-0.02311686221,0.02629067323,0.04607739311,-0.007579807758,0.03179898906,-0.01304444248,-0.03569835931,0.01095322286
2,-0.05228197692,0.03848566007,-0.04623372442,0.05258134646,0.09215478621,-0.01515961552,0.06359797812,-0.02608888496,-0.07139671863,0.02190644572
3,-0.07842296538,0.05772849011,-0.06935058663,0.07887201969,0.1382321793,-0.02273942327,0.09539696718,-0.03913332744,-0.1070950779,0.03285966858
4,-0.1045639538,0.07697132015,-0.09246744883,0.1051626929,0.1843095724,-0.03031923103,0.1271959562,-0.05217776992,-0.1427934373,0.04381289144
5,-0.1307049423,0.09621415019,-0.115584311,0.1314533662,0.2303869655,-0.03789903879,0.1589949453,-0.0652222124,-0.1784917966,0.0547661143
6,-0.1568459308,0.1154569802,-0.1387011733,0.1577440394,0.2764643586,-0.04547884655,0.1907939344,-0.07826665488,-0.2141901559,0.06571933716
7,-0.1829869192,0.1346998103,-0.1618180355,0.1840347126,0.3225417518,-0.05305865431,0.2225929234,-0.09131109736,-0.2498885152,0.07667256002
8,-0.2091279077,0.1539426403,-0.1849348977,0.2103253859,0.3686191449,-0.06063846206,0.2543919125,-0.1043555398,-0.2855868745,0.08762578288
9,-0.2352688961,0.1731854703,-0.2080517599,0.2366160591,0.414696538,-0.06821826982,0.2861909016,-0.1173999823,-0.3212852338,0.09857900573
10,-0.2614098846,0.1924283004,-0.2311686221,0.2629067323,0.4607739311,-0.07579807758,0.3179898906,-0.1304444248,-0.3569835931,0.1095322286
11,-0.2875508731,0.2116711304,-0.2542854843,0.2891974055,0.5068513242,-0.08337788534,0.3497888797,-0.1434888673,-0.3926819525,0.1204854515
12,-0.3136918615,0.2309139604,-0.2774023465,0.3154880788,0.5529287173,-0.0909576931,0.3815878687,-0.1565333098,-0.4283803118,0.1314386743
13,-0.33983285,0.2501567905,-0.3005192087,0.341778752,0.5990061104,-0.09853750085,0.4133868578,-0.1695777522,-0.4640786711,0.1423918972
14,-0.3659738384,0.2693996205,-0.3236360709,0.3680694252,0.6450835035,-0.1061173086,0.4451858469,-0.1826221947,-0.4997770304,0.15334512
15,-0.3921148269,0.2886424506,-0.3467529331,0.3943600985,0.6911608966,-0.1136971164,0.4769848359,-0.1956666372,-0.5354753897,0.1642983429
16,-0.4182558154,0.3078852806,-0.3698697953,0.4206507717,0.7372382897,-0.1212769241,0.508783825,-0.2087110797,-0.571173749,0.1752515658
17,-0.4443968038,0.3271281106,-0.3929866575,0.4469414449,0.7833156828,-0.1288567319,0.540582814,-0.2217555222,-0.6068721084,0.1862047886
18,-0.4705377923,0.3463709407,-0.4161035198,0.4732321182,0.8293930759,-0.1364365396,0.5723818031,-0.2347999646,-0.6425704677,0.1971580115
19,-0.4966787808,0.3656137707,-0.439220382,0.4995227914,0.875470469,-0.1440163474,0.6041807922,-0.2478444071,-0.678268827,0.2081112343
20,-0.5228197692,0.3848566007,-0.4623372442,0.5258134646,0.9215478621,-0.1515961552,0.6359797812,-0.2608888496,-0.7139671863,0.2190644572
21,-0.5489607577,0.4040994308,-0.4854541064,0.5521041379,0.9676252553,-0.1591759629,0.6677787703,-0.2739332921,-0.7496655456,0.23001768
22,-0.5751017461,0.4233422608,-0.5085709686,0.5783948111,1.013702648,-0.1667557707,0.6995777594,-0.2869777346,-0.7853639049,0.2409709029
23,-0.6012427346,0.4425850909,-0.5316878308,0.6046854843,1.059780041,-0.1743355784,0.7313767484,-0.300022177,-0.8210622642,0.2519241258
24,-0.6273837231,0.4618279209,-0.554804693,0.6309761576,1.105857435,-0.1819153862,0.7631757375,-0.3130666195,-0.8567606236,0.2628773486
25,-0.6535247115,0.4810707509,-0.5779215552,0.6572668308,1.151934828,-0.189495194,0.7949747265,-0.326111062,-0.8924589829,0.2738305715
26,-0.6796657,0.500313581,-0.6010384174,0.683557504,1.198012221,-0.1970750017,0.8267737156,-0.3391555045,-0.9281573422,0.2847837943
27,-0.7058066884,0.519556411,-0.6241552796,0.7098481773,1.244089614,-0.2046548095,0.8585727047,-0.352199947,-0.9638557015,0.2957370172
28,-0.7319476769,0.538799241,-0.6472721418,0.7361388505,1.290167007,-0.2122346172,0.8903716937,-0.3652443894,-0.9995540608,0.3066902401
29,-0.7580886654,0.5580420711,-0.670389004,0.7624295237,1.3362444,-0.219814425,0.9221706828,-0.3782888319,-1.03525242,0.3176434629
30,-0.7842296538,0.5772849011,-0.6935058663,0.7887201969,1.382321793,-0.2273942327,0.9539696718,-0.3913332744,-1.070950779,0.3285966858
31,-0.8103706423,0.5965277312,-0.7166227285,0.8150108702,1.428399186,-0.2349740405,0.9857686609,-0.4043777169,-1.106649139,0.3395499086
32,-0.8365116307,0.6157705612,-0.7397395907,0.8413015434,1.474476579,-0.2425538483,1.01756765,-0.4174221594,-1.142347498,0.3505031315
33,-0.8626526192,0.6350133912,-0.7628564529,0.8675922166,1.520553973,-0.250133656,1.049366639,-0.4304666018,-1.178045857,0.3614563544
34,-0.8887936077,0.6542562213,-0.7859733151,0.8938828899,1.566631366,-0.2577134638,1.081165628,-0.4435110443,-1.213744217,0.3724095772
35,-0.9149345961,0.6734990513,-0.8090901773,0.9201735631,1.612708759,-0.2652932715,1.112964617,-0.4565554868,-1.249442576,0.3833628001
36,-0.9410755846,0.6927418813,-0.8322070395,0.9464642363,1.658786152,-0.2728730793,1.144763606,-0.4695999293,-1.285140935,0.3943160229
37,-0.967216573,0.7119847114,-0.8553239017,0.9727549096,1.704863545,-0.280452887,1.176562595,-0.4826443718,-1.320839295,0.4052692458
