ADMIT_PAIN_NO,MDQ.prob.mcid,MDQ.prob.pain,NDI.prob.mcid,NDI.prob.pain,KOS.prob.mcid,KOS.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,QDASH.prob.mcid,QDASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,0.052884,-0.423217,-0.007695,-0.488119,0.066357,-0.502316,0.030261,-0.498828,0.067506,-0.482646
2,0.105768,-0.846434,-0.01539,-0.976238,0.132714,-1.004632,0.060522,-0.997656,0.135012,-0.965292
3,0.158652,-1.269651,-0.023085,-1.464357,0.199071,-1.506948,0.090783,-1.496484,0.202518,-1.447938
4,0.211536,-1.692868,-0.03078,-1.952476,0.265428,-2.009264,0.121044,-1.995312,0.270024,-1.930584
5,0.26442,-2.116085,-0.038475,-2.440595,0.331785,-2.51158,0.151305,-2.49414,0.33753,-2.41323
6,0.317304,-2.539302,-0.04617,-2.928714,0.398142,-3.013896,0.181566,-2.992968,0.405036,-2.895876
7,0.370188,-2.962519,-0.053865,-3.416833,0.464499,-3.516212,0.211827,-3.491796,0.472542,-3.378522
8,0.423072,-3.385736,-0.06156,-3.904952,0.530856,-4.018528,0.242088,-3.990624,0.540048,-3.861168
9,0.475956,-3.808953,-0.069255,-4.393071,0.597213,-4.520844,0.272349,-4.489452,0.607554,-4.343814
10,0.52884,-4.23217,-0.07695,-4.88119,0.66357,-5.02316,0.30261,-4.98828,0.67506,-4.82646
