ADMIT_SCORE_NO,MDQ.prob.mcid,MDQ.prob.pain,NDI.prob.mcid,NDI.prob.pain,KOS.prob.mcid,KOS.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,QDASH.prob.mcid,QDASH.prob.pain
0,0,0,0,0,0,0,0,0,0,0
1,-0.037604,0.01887,-0.032738,0.02826,0.047713,-0.00766,0.04478,-0.01072,-0.042749,0.009176
2,-0.075208,0.03774,-0.065476,0.05652,0.095426,-0.01532,0.08956,-0.02144,-0.085498,0.018352
3,-0.112812,0.05661,-0.098214,0.08478,0.143139,-0.02298,0.13434,-0.03216,-0.128247,0.027528
4,-0.150416,0.07548,-0.130952,0.11304,0.190852,-0.03064,0.17912,-0.04288,-0.170996,0.036704
5,-0.18802,0.09435,-0.16369,0.1413,0.238565,-0.0383,0.2239,-0.0536,-0.213745,0.04588
6,-0.225624,0.11322,-0.196428,0.16956,0.286278,-0.04596,0.26868,-0.06432,-0.256494,0.055056
7,-0.263228,0.13209,-0.229166,0.19782,0.333991,-0.05362,0.31346,-0.07504,-0.299243,0.064232
8,-0.300832,0.15096,-0.261904,0.22608,0.381704,-0.06128,0.35824,-0.08576,-0.341992,0.073408
9,-0.338436,0.16983,-0.294642,0.25434,0.429417,-0.06894,0.40302,-0.09648,-0.384741,0.082584
10,-0.37604,0.1887,-0.32738,0.2826,0.47713,-0.0766,0.4478,-0.1072,-0.42749,0.09176
11,-0.413644,0.20757,-0.360118,0.31086,0.524843,-0.08426,0.49258,-0.11792,-0.470239,0.100936
12,-0.451248,0.22644,-0.392856,0.33912,0.572556,-0.09192,0.53736,-0.12864,-0.512988,0.110112
13,-0.488852,0.24531,-0.425594,0.36738,0.620269,-0.09958,0.58214,-0.13936,-0.555737,0.119288
14,-0.526456,0.26418,-0.458332,0.39564,0.667982,-0.10724,0.62692,-0.15008,-0.598486,0.128464
15,-0.56406,0.28305,-0.49107,0.4239,0.715695,-0.1149,0.6717,-0.1608,-0.641235,0.13764
16,-0.601664,0.30192,-0.523808,0.45216,0.763408,-0.12256,0.71648,-0.17152,-0.683984,0.146816
17,-0.639268,0.32079,-0.556546,0.48042,0.811121,-0.13022,0.76126,-0.18224,-0.726733,0.155992
18,-0.676872,0.33966,-0.589284,0.50868,0.858834,-0.13788,0.80604,-0.19296,-0.769482,0.165168
19,-0.714476,0.35853,-0.622022,0.53694,0.906547,-0.14554,0.85082,-0.20368,-0.812231,0.174344
20,-0.75208,0.3774,-0.65476,0.5652,0.95426,-0.1532,0.8956,-0.2144,-0.85498,0.18352
21,-0.789684,0.39627,-0.687498,0.59346,1.001973,-0.16086,0.94038,-0.22512,-0.897729,0.192696
22,-0.827288,0.41514,-0.720236,0.62172,1.049686,-0.16852,0.98516,-0.23584,-0.940478,0.201872
23,-0.864892,0.43401,-0.752974,0.64998,1.097399,-0.17618,1.02994,-0.24656,-0.983227,0.211048
24,-0.902496,0.45288,-0.785712,0.67824,1.145112,-0.18384,1.07472,-0.25728,-1.025976,0.220224
25,-0.9401,0.47175,-0.81845,0.7065,1.192825,-0.1915,1.1195,-0.268,-1.068725,0.2294
26,-0.977704,0.49062,-0.851188,0.73476,1.240538,-0.19916,1.16428,-0.27872,-1.111474,0.238576
27,-1.015308,0.50949,-0.883926,0.76302,1.288251,-0.20682,1.20906,-0.28944,-1.154223,0.247752
28,-1.052912,0.52836,-0.916664,0.79128,1.335964,-0.21448,1.25384,-0.30016,-1.196972,0.256928
29,-1.090516,0.54723,-0.949402,0.81954,1.383677,-0.22214,1.29862,-0.31088,-1.239721,0.266104
30,-1.12812,0.5661,-0.98214,0.8478,1.43139,-0.2298,1.3434,-0.3216,-1.28247,0.27528
31,-1.165724,0.58497,-1.014878,0.87606,1.479103,-0.23746,1.38818,-0.33232,-1.325219,0.284456
32,-1.203328,0.60384,-1.047616,0.90432,1.526816,-0.24512,1.43296,-0.34304,-1.367968,0.293632
33,-1.240932,0.62271,-1.080354,0.93258,1.574529,-0.25278,1.47774,-0.35376,-1.410717,0.302808
34,-1.278536,0.64158,-1.113092,0.96084,1.622242,-0.26044,1.52252,-0.36448,-1.453466,0.311984
35,-1.31614,0.66045,-1.14583,0.9891,1.669955,-0.2681,1.5673,-0.3752,-1.496215,0.32116
36,-1.353744,0.67932,-1.178568,1.01736,1.717668,-0.27576,1.61208,-0.38592,-1.538964,0.330336
37,-1.391348,0.69819,-1.211306,1.04562,1.765381,-0.28342,1.65686,-0.39664,-1.581713,0.339512
38,-1.428952,0.71706,-1.244044,1.07388,1.813094,-0.29108,1.70164,-0.40736,-1.624462,0.348688
39,-1.466556,0.73593,-1.276782,1.10214,1.860807,-0.29874,1.74642,-0.41808,-1.667211,0.357864
40,-1.50416,0.7548,-1.30952,1.1304,1.90852,-0.3064,1.7912,-0.4288,-1.70996,0.36704
41,-1.541764,0.77367,-1.342258,1.15866,1.956233,-0.31406,1.83598,-0.43952,-1.752709,0.376216
42,-1.579368,0.79254,-1.374996,1.18692,2.003946,-0.32172,1.88076,-0.45024,-1.795458,0.385392
43,-1.616972,0.81141,-1.407734,1.21518,2.051659,-0.32938,1.92554,-0.46096,-1.838207,0.394568
44,-1.654576,0.83028,-1.440472,1.24344,2.099372,-0.33704,1.97032,-0.47168,-1.880956,0.403744
45,-1.69218,0.84915,-1.47321,1.2717,2.147085,-0.3447,2.0151,-0.4824,-1.923705,0.41292
46,-1.729784,0.86802,-1.505948,1.29996,2.194798,-0.35236,2.05988,-0.49312,-1.966454,0.422096
47,-1.767388,0.88689,-1.538686,1.32822,2.242511,-0.36002,2.10466,-0.50384,-2.009203,0.431272
48,-1.804992,0.90576,-1.571424,1.35648,2.290224,-0.36768,2.14944,-0.51456,-2.051952,0.440448
49,-1.842596,0.92463,-1.604162,1.38474,2.337937,-0.37534,2.19422,-0.52528,-2.094701,0.449624
50,-1.8802,0.9435,-1.6369,1.413,2.38565,-0.383,2.239,-0.536,-2.13745,0.4588
51,-1.917804,0.96237,-1.669638,1.44126,2.433363,-0.39066,2.28378,-0.54672,-2.180199,0.467976
52,-1.955408,0.98124,-1.702376,1.46952,2.481076,-0.39832,2.32856,-0.55744,-2.222948,0.477152
53,-1.993012,1.00011,-1.735114,1.49778,2.528789,-0.40598,2.37334,-0.56816,-2.265697,0.486328
54,-2.030616,1.01898,-1.767852,1.52604,2.576502,-0.41364,2.41812,-0.57888,-2.308446,0.495504
55,-2.06822,1.03785,-1.80059,1.5543,2.624215,-0.4213,2.4629,-0.5896,-2.351195,0.50468
56,-2.105824,1.05672,-1.833328,1.58256,2.671928,-0.42896,2.50768,-0.60032,-2.393944,0.513856
57,-2.143428,1.07559,-1.866066,1.61082,2.719641,-0.43662,2.55246,-0.61104,-2.436693,0.523032
58,-2.181032,1.09446,-1.898804,1.63908,2.767354,-0.44428,2.59724,-0.62176,-2.479442,0.532208
59,-2.218636,1.11333,-1.931542,1.66734,2.815067,-0.45194,2.64202,-0.63248,-2.522191,0.541384
60,-2.25624,1.1322,-1.96428,1.6956,2.86278,-0.4596,2.6868,-0.6432,-2.56494,0.55056
61,-2.293844,1.15107,-1.997018,1.72386,2.910493,-0.46726,2.73158,-0.65392,-2.607689,0.559736
62,-2.331448,1.16994,-2.029756,1.75212,2.958206,-0.47492,2.77636,-0.66464,-2.650438,0.568912
63,-2.369052,1.18881,-2.062494,1.78038,3.005919,-0.48258,2.82114,-0.67536,-2.693187,0.578088
64,-2.406656,1.20768,-2.095232,1.80864,3.053632,-0.49024,2.86592,-0.68608,-2.735936,0.587264
65,-2.44426,1.22655,-2.12797,1.8369,3.101345,-0.4979,2.9107,-0.6968,-2.778685,0.59644
66,-2.481864,1.24542,-2.160708,1.86516,3.149058,-0.50556,2.95548,-0.70752,-2.821434,0.605616
67,-2.519468,1.26429,-2.193446,1.89342,3.196771,-0.51322,3.00026,-0.71824,-2.864183,0.614792
68,-2.557072,1.28316,-2.226184,1.92168,3.244484,-0.52088,3.04504,-0.72896,-2.906932,0.623968
69,-2.594676,1.30203,-2.258922,1.94994,3.292197,-0.52854,3.08982,-0.73968,-2.949681,0.633144
70,-2.63228,1.3209,-2.29166,1.9782,3.33991,-0.5362,3.1346,-0.7504,-2.99243,0.64232
71,-2.669884,1.33977,-2.324398,2.00646,3.387623,-0.54386,3.17938,-0.76112,-3.035179,0.651496
72,-2.707488,1.35864,-2.357136,2.03472,3.435336,-0.55152,3.22416,-0.77184,-3.077928,0.660672
73,-2.745092,1.37751,-2.389874,2.06298,3.483049,-0.55918,3.26894,-0.78256,-3.120677,0.669848
74,-2.782696,1.39638,-2.422612,2.09124,3.530762,-0.56684,3.31372,-0.79328,-3.163426,0.679024
75,-2.8203,1.41525,-2.45535,2.1195,3.578475,-0.5745,3.3585,-0.804,-3.206175,0.6882
76,-2.857904,1.43412,-2.488088,2.14776,3.626188,-0.58216,3.40328,-0.81472,-3.248924,0.697376
77,-2.895508,1.45299,-2.520826,2.17602,3.673901,-0.58982,3.44806,-0.82544,-3.291673,0.706552
78,-2.933112,1.47186,-2.553564,2.20428,3.721614,-0.59748,3.49284,-0.83616,-3.334422,0.715728
79,-2.970716,1.49073,-2.586302,2.23254,3.769327,-0.60514,3.53762,-0.84688,-3.377171,0.724904
80,-3.00832,1.5096,-2.61904,2.2608,3.81704,-0.6128,3.5824,-0.8576,-3.41992,0.73408
81,-3.045924,1.52847,-2.651778,2.28906,3.864753,-0.62046,3.62718,-0.86832,-3.462669,0.743256
82,-3.083528,1.54734,-2.684516,2.31732,3.912466,-0.62812,3.67196,-0.87904,-3.505418,0.752432
83,-3.121132,1.56621,-2.717254,2.34558,3.960179,-0.63578,3.71674,-0.88976,-3.548167,0.761608
84,-3.158736,1.58508,-2.749992,2.37384,4.007892,-0.64344,3.76152,-0.90048,-3.590916,0.770784
85,-3.19634,1.60395,-2.78273,2.4021,4.055605,-0.6511,3.8063,-0.9112,-3.633665,0.77996
86,-3.233944,1.62282,-2.815468,2.43036,4.103318,-0.65876,3.85108,-0.92192,-3.676414,0.789136
87,-3.271548,1.64169,-2.848206,2.45862,4.151031,-0.66642,3.89586,-0.93264,-3.719163,0.798312
88,-3.309152,1.66056,-2.880944,2.48688,4.198744,-0.67408,3.94064,-0.94336,-3.761912,0.807488
89,-3.346756,1.67943,-2.913682,2.51514,4.246457,-0.68174,3.98542,-0.95408,-3.804661,0.816664
90,-3.38436,1.6983,-2.94642,2.5434,4.29417,-0.6894,4.0302,-0.9648,-3.84741,0.82584
91,-3.421964,1.71717,-2.979158,2.57166,4.341883,-0.69706,4.07498,-0.97552,-3.890159,0.835016
92,-3.459568,1.73604,-3.011896,2.59992,4.389596,-0.70472,4.11976,-0.98624,-3.932908,0.844192
93,-3.497172,1.75491,-3.044634,2.62818,4.437309,-0.71238,4.16454,-0.99696,-3.975657,0.853368
94,-3.534776,1.77378,-3.077372,2.65644,4.485022,-0.72004,4.20932,-1.00768,-4.018406,0.862544
95,-3.57238,1.79265,-3.11011,2.6847,4.532735,-0.7277,4.2541,-1.0184,-4.061155,0.87172
96,-3.609984,1.81152,-3.142848,2.71296,4.580448,-0.73536,4.29888,-1.02912,-4.103904,0.880896
97,-3.647588,1.83039,-3.175586,2.74122,4.628161,-0.74302,4.34366,-1.03984,-4.146653,0.890072
98,-3.685192,1.84926,-3.208324,2.76948,4.675874,-0.75068,4.38844,-1.05056,-4.189402,0.899248
99,-3.722796,1.86813,-3.241062,2.79774,4.723587,-0.75834,4.43322,-1.06128,-4.232151,0.908424
100,-3.7604,1.887,-3.2738,2.826,4.7713,-0.766,4.478,-1.072,-4.2749,0.9176
