Age.num,MDQ.prob.mcid,MDQ.prob.pain,NDI.prob.mcid,NDI.prob.pain,KOS.prob.mcid,KOS.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,QDASH.prob.mcid,QDASH.prob.pain
10,0.722798,0.126663,0.507536,0.237274,0.925769,0.656547,1.366381,0.501621,0.593984,0.346554
11,0.75271655,0.1319059217,0.5285442779,0.247095408,0.9640890647,0.6837232433,1.422939179,0.5223844401,0.6185705927,0.3608988006
12,0.7800300463,0.1366923342,0.5477233329,0.256061651,0.999072543,0.7085332095,1.47457275,0.5413399758,0.6410163933,0.3739945775
13,0.8051560272,0.1410954068,0.5653663533,0.264309795,1.031254223,0.7313561661,1.522071032,0.5587773783,0.6616645282,0.3860415245
14,0.8284190519,0.1451720154,0.5817012387,0.2719463835,1.061049805,0.7524869234,1.566047572,0.5749218914,0.6807817151,0.3971952553
15,0.8500764099,0.1489672471,0.5969086533,0.2790558774,1.088788829,0.7721591879,1.606988751,0.5899520735,0.6985793904,0.4075791302
16,0.8703355152,0.1525174494,0.6111342395,0.2857063648,1.114736952,0.7905613623,1.645286666,0.6040118698,0.7152280038,0.4172925965
17,0.8893660195,0.1558523517,0.6244971238,0.2919535374,1.139111467,0.807847548,1.681262028,0.6172190184,0.7308669721,0.4264169955
18,0.9073084561,0.1589965813,0.6370959862,0.2978435284,1.162092372,0.8241453974,1.715180501,0.6296710493,0.7456117837,0.4350197077
19,0.9242805453,0.1619707674,0.6490134876,0.3034149819,1.183830442,0.8395618404,1.747264624,0.6414496601,0.7595591789,0.4431571754
20,0.9403818788,0.1647923623,0.6603195599,0.3087005912,1.204453238,0.8541873406,1.777702667,0.6526239675,0.7727910009,0.4508771491
21,0.9556974618,0.1674762625,0.671073892,0.3137282609,1.224069634,0.8680991113,1.806655322,0.6632529648,0.7853771056,0.4582203855
22,0.9703004289,0.170035284,0.6813278377,0.3185219992,1.242773303,0.8813635838,1.834260845,0.6733874076,0.7973775936,0.4652219497
23,0.9842541564,0.1724805329,0.691125899,0.3231026106,1.260645417,0.8940383256,1.860639042,0.6830712788,0.8088445469,0.4719122285
24,0.9976139251,0.1748216965,0.7005068928,0.3274882422,1.277756781,0.9061735501,1.885894417,0.6923429433,0.8198233942,0.4783177267
25,1.010428242,0.1770672753,0.7095048802,0.3316948176,1.294169524,0.9178133189,1.910118667,0.7012360651,0.8303539981,0.4844617018
26,1.022739906,0.1792247692,0.7181499131,0.3357363862,1.309938461,0.9289965067,1.933392698,0.7097803458,0.8404715291,0.4903646736
27,1.034586866,0.1813008285,0.7264686394,0.3396254058,1.325112201,0.9397575853,1.955788251,0.7180021227,0.8502071741,0.4960448379
28,1.046002931,0.1833013777,0.7344847986,0.3433729747,1.339734044,0.950127264,1.977369238,0.7259248588,0.8595887161,0.5015184044
29,1.057018348,0.1852317176,0.7422196303,0.3469890226,1.353842732,0.9601330183,1.998192839,0.7335695461,0.8686410124,0.5067998758
